location,tag_name,flwr_number,photo_ID,area,perimeter,circularity,feret,feret_X,feret_Y,feret_angle,min_feret,aspect_ratio,roundness,solidity,OL_width_left,OL_width_right,IL_width,trough_length_left,angle_left,trough_length_right,angle_right,limitations,exclude,notes,measurements_done?
T06-C05,BBU_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,
T06-C07,BFF_20,3,DSC_0165,0.976,8.724,0.161,2.318,2255,1832,83.853,1.576,1.61,0.621,0.453,0.19,0.155,0.457,1.135,25.944,0.916,-40.619,1,0,petal seems curved but hard to tell,
T06-C09,FUR_03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,
T06-C11,FUR_20,3,DSC_0165,0.729,5.772,0.275,1.595,4145,1829,83.275,1.078,1.675,0.597,0.611,0.319,0.308,0.269,0.571,25.836,0.572,-42.027,0,0,,
T06-C13,TIC_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,
T06-D04,BRD_20,3,DSC_0186,0.935,8.177,0.176,2.161,2730,2624,91.478,1.572,1.104,0.905,0.437,0.27,0.226,0.467,0.957,34.616,0.963,-26.194,0,0,,
T06-D06,MEB_06,3,DSC_0038,1.474,11.852,0.132,2.774,4610,1368,89.576,1.636,1.69,0.592,0.508,0.228,0.249,0.441,0.853,22.312,0.849,-20.287,0,0,,
T06-D08,BFF_10,3,DSC_0023,1.485,10.721,0.162,2.783,4289,1218,94.503,1.897,1.416,0.706,0.472,0.273,0.244,0.751,1.248,28.877,1.009,-32.125,0,0,,
T06-D10,BBU_01,3,DSC_0037,0.983,7.278,0.233,2.222,4249.667,1533.667,112.354,1.327,1.725,0.58,0.546,0.245,0.248,0.331,0.916,57.16,0.769,-10.748,0,0,,
T06-D12,JCP_07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,
T06-D14,STM_07,3,DSC_0016,1.592,8.689,0.265,2.43,3562,1483,6.517,1.891,1.101,0.908,0.553,0.33,0.291,0.642,1.214,-53.431,1.271,66.389,1,0,,
T06-E01,KAB_04,3,DSC_0162,0.937,7.689,0.199,2.161,2294,3132,88.507,1.338,1.745,0.573,0.527,0.205,0.223,0.542,0.912,32.709,0.813,-30.114,0,0,,
T06-E03,SUC_05,3,DSC_0144,0.462,5.228,0.213,1.383,4092,1608,24.023,0.957,1.441,0.694,0.55,0.175,0.143,0.257,0.595,-34.365,0.604,-93.085,0,0,feret angle is odd because petal is sideways,
T06-E05,JCP_17,3,DSC_0152,1,7.673,0.213,2.095,2387,1452,90.942,1.464,1.16,0.862,0.508,0.258,0.266,0.436,0.97,37.643,0.971,-23.199,0,0,,
T06-E07,STM_08,3,DSC_0020,2.551,12.707,0.199,2.884,4340,2788,88.872,2.259,1.119,0.894,0.599,0.512,0.591,0.804,1.439,33.795,1.268,-28.474,0,0,,
T06-E09,GPN_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,aphid damage,
T06-E11,BBU_15,3,DSC_0150,0.951,8.35,0.171,2.445,4093,1142,97.107,1.519,1.588,0.63,0.446,0.25,0.216,0.317,1.004,41.693,0.978,-31.027,0,0,,
T06-E13,KAB_13,3,DSC_0168,0.565,5.867,0.206,1.644,2368,1594,98.166,1.103,1.433,0.698,0.489,0.18,0.161,0.33,0.933,53.16,0.963,-39.157,0,0,,
T06-F02,LRR_03,3,DSC_0167,0.621,5.812,0.231,1.642,4006,3027.5,91.469,1.096,1.317,0.759,0.57,0.175,0.198,0.298,0.673,40.035,0.799,-31.805,0,0,,
T06-F04,HES_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,never germinated,
T06-F06,SUC_15,3,DSC_0043,0.217,3.226,0.262,1.105,3583,1746,109.952,0.546,2.656,0.377,0.597,0.094,0.09,0.19,0.486,68.822,0.436,-36.807,0,0,threshold captured too much (petal is tiny),
T06-F08,KAB_18,3,DSC_0183,0.243,3.416,0.262,1.164,1686,1993,98.46,0.58,2.506,0.399,0.592,0.083,0.098,0.245,0.479,55.263,0.414,-37.537,0,0,,
T06-F10,LIC_11,3,DSC_0186,1.09,6.926,0.286,1.968,3899,1306,92.842,1.428,1.352,0.74,0.638,0.238,0.284,0.749,0.866,26.771,0.81,-26.565,1,0,,
T06-F12,HES_13,3,DSC_0144,0.775,7.692,0.165,2.153,2368,1341,87.886,1.411,1.9,0.526,0.426,0.191,0.157,0.458,0.94,32.775,0.909,-42.427,1,0,,
T06-F14,KAB_10,3,DSC_0146,0.726,6.21,0.237,1.707,2268.667,1344,85.041,1.155,1.426,0.701,0.607,0.224,0.182,0.496,0.641,20.659,0.707,-26.446,0,0,,
T06-G01,LRR_06,3,DSC_0023,1.582,10.297,0.188,2.224,2386,2865,105.899,1.939,1.013,0.987,0.536,0.37,0.318,0.627,1.237,36.072,1.023,-7.815,0,0,,
T06-G03,HES_17,3,DSC_0162,1.403,9.872,0.181,2.491,4129,2830,96.161,1.759,1.348,0.742,0.532,0.288,0.268,0.642,1.136,35.166,1.055,-28.275,0,0,,
T06-G05,BRD_07,3,DSC_0191,1.047,7.27,0.249,2.068,3872.5,1854.5,93.003,1.444,1.209,0.827,0.561,0.318,0.337,0.417,0.909,26.171,0.812,-29.214,0,0,,
T06-G09,FUR_15,3,DSC_0168,1.064,8.007,0.209,2.093,4128,1637,101.467,1.42,1.336,0.749,0.598,0.279,0.253,0.337,0.91,41.424,0.772,-18.178,0,0,,
T06-G11,MEB_08,4,DSC_0136,0.655,6.011,0.228,1.598,4328,1946,85.84,1.133,1.288,0.777,0.555,0.24,0.279,0.354,0.789,42.147,0.883,-42.366,0,0,,
T06-G13,LRR_04,3,DSC_0028,1.826,10.225,0.219,2.429,2324,1687,82.528,1.932,1.067,0.937,0.589,0.354,0.312,0.957,1.216,16.67,1.285,-42.51,0,0,,
T07-A01,LIC_16,2,DSC_0190,0.621,6.166,0.205,1.921,3545.5,1933.5,81.839,1.215,1.608,0.622,0.442,0.177,0.188,0.281,0.907,37.1,0.981,-51.241,0,0,,
T07-A03,CRE_05,2,DSC_0174,0.437,4.905,0.228,1.323,3725,1518,99.273,0.903,1.225,0.816,0.557,0.19,0.186,0.247,0.597,35.463,0.63,-33.354,0,0,,
T07-A05,TIC_06,3,DSC_0141,0.828,7.22,0.2,1.956,4058,1986,85.617,1.349,1.545,0.647,0.514,0.14,0.198,0.46,0.951,24.55,0.752,-32.638,1,0,,
T07-A07,LIC_02,3,DSC_0193,0.617,7.039,0.156,1.713,4076,1830,88.077,1.143,1.684,0.594,0.52,0.158,0.153,0.444,0.715,28.243,0.637,-27.25,0,0,,
