location,tag_name,bud_emerg_date,num_buds_at_emerge,flwr_date,ttl_stem_lngth_flwr,buds_at_first_flwr,pollen_color_subj,anther_color_subj,overall_petal_color_subj,petal_pat_color,scnd_flwr_date,third_flwr_date,fourth_flwr_date,exclude,exclude2 ,notes,key,notes2
T04-E03,KAB_01,12/18/23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"dead January 28, 2024",,
T04-E05,BBU_10,11/20/23,1,12/10/23,8.5,1,NA,NA,NA,NA,12/16/23,NA,NA,0,,marked for pest observation January 8; removed from experiment January 17 due to aphid damage ,,
T04-E07,HES_19,11/20/23,1,12/5/23,11.7,2,purple,purple,purple,1,12/10/23,12/15/23,NA,0,,,,
T04-E09,BRD_06,12/26/23,2,1/13/24,21.8,2,cream,pink,pink,1,1/19/24,1/24/24,NA,0,,marked for pest observation january 8,,
T04-E11,BRD_14,12/18/23,2,1/9/24,20.1,1,cream,cream,pink,1,1/13/24,NA,NA,0,,did not make third flower; color data collected on second flower,,
T04-E13,JCP_09,12/4/23,2,12/18/23,9.2,3,NA,NA,NA,NA,12/26/23,NA,NA,0,,"marked as done January 24, 2024, color data collected on second flower ",,
T04-F02,SUC_14,11/20/23,3,12/3/23,15.9,4,cream,lavender,pink,1,12/8/23,12/11/23,NA,0,,,,
T04-F04,SUC_07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"very abnormal, did not take data",,
T04-F06,BFF_09,11/27/23,3,12/10/23,4.7,2,pink,pink,lavender,1,12/10/23,12/17/23,NA,0,,,,
T04-F08,BBU_09,11/13/23,1,12/2/23,9.6,3,cream,lavender,lavender,1,12/6/23,12/11/23,NA,0,,,,
T04-F10,KAB_14,12/4/23,1,12/26/23,18.2,3,pink,pink,lavender,1,12/29/23,1/2/24,NA,0,,,,
T04-F12,LRR_01,11/20/23,1,12/12/23,9.8,2,cream,cream,lavender,1,12/17/23,12/26/23,NA ,0,,,,
T04-F14,PMS_10,11/20/23,1,12/11/23,7.7,3,cream,cream,lavender,1,12/15/23,NA,1/5/24,0,,"fifth flower: January 9, 2024; had a wonky 4th flower, third and fifth were used for spec and photos (fifth flower had three petals) ",,
T04-G01,BRD_02,12/11/23,1,12/31/23,8.4,2,lavender,cream,pink,1,1/4/24,NA,NA,0,,plant did not make 3 flowers ,,
T04-G03,GPN_11,2/11/24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,aphid damage ,,
T04-G05,JCP_18,11/20/23,2,12/4/23,16.5,6,cream,pink,pink,0,12/7/23,12/9/23,NA,0,,,,
T04-G07,BRD_13,12/6/23,2,12/17/23,12.1,3,lavender,lavender,pink,0,NA,1/1/24,NA,0,,second flower date missed,,
T04-G09,CRE_01,12/18/23,3,1/9/24,11.2,4,cream,lavender,pink,0,1/11/24,1/16/24,NA,0,,,,
T04-G11,BBU_11,11/20/23,1,12/5/23,9.8,1,NA,NA,NA,NA,12/10/23,NA,NA,0,,"removed from experiment January 20, 2024",,
T04-G13,MEB_12,11/20/23,3,12/3/23,13.7,5,cream,cream,pink,1,12/4/23,12/6/23,NA,0,,,,
T05-A03,JCP_12,12/4/23,3,1/2/24,20.4,3,cream,lavender,purple,0,1/5/24,1/10/24,NA,0,,,,
